filename,lob,SectionID,SectionName,CLASLabel,ScreenField,CLASField,Type,Required,Length,Allowkeys,Min-Max,Tooltip,Enable,DropdownValue,StoredValue,ErrorMessage,Comments
CPPropertyInput.aspx,WebApplications,,,,hidevttArg,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,,,,hidevtTarget,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Blanket Limits<font size=1> (The most we will pay for loss at any one covered location)</font,lblBlanket,,label,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,chkControlchkCpPfBldgLimitInd,CpPfBldgLimitInd,CheckBox,,,,,,,,Y,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Bpp,txtCpPfBppLimit,CpPfBppLimit,TextBox, True ,12," 0-9,.",,1.),,,, BPP Limit is required if selected.,
,,,,,,,,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,chkControlchkCpPfBPPLimitInd,CpPfBppLimitInd,CheckBox,,,,,1.),,,Y,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Combined Bldg &&amp; BPP $,txtCpPfCombinedLmt,CpPfCombinedLmt,TextBox, True ,12," 0-9,.",,1.),,,, Combined Limit is required if selected.,
,,,,,,,,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,chkControlchkCpPfCombinedLimitInd,CpPfCombinedLmtInd,CheckBox,,,,,1.),,,Y,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Scheduled Locations Limits,lblSchedule,,label,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,lnkChooseLocations,,LinkButton,,,,,1.) Select this Link for List property locations in order to choose locations to be scheduled.,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,hdnLocsScheduled,,HiddenField,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,chkCpPfNwlBltAgrdBldgInd,"1.)CpPfNwlBltAqrdBldgInd
2.)CpPfNwlBltAqrdBldgLmt",CheckBox,,,,,1.),,,Y,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Newly Built or Acquired Building,txtCpPfNwlBltAgrdBldgLmt,CpPfNwlBltAqrdBldgLmt,TextBox,,12," 0-9,.",,1.),,,,,
,,,,,,,,,,,,,,,,,
