filename,lob,SectionID,SectionName,CLASLabel,ScreenField,CLASField,Type,Required,Length,Allowkeys,Min-Max,Tooltip,Enable,DropdownValue,StoredValue,ErrorMessage,Comments
CPPropertyInput.aspx,WebApplications,,,,hidevttArg,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,,,,hidevtTarget,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Limit Type,ddlCpPfTypeLimits,CpPfTypeofLimits,DropDownList, True ,,,,"1.) ""Select desired Limit Type.  Only one Limit Type can be selected.""
",,"1.)Proc name: uspSelect_CP_Coverage_Limit_Type
,Key name:PFLimitType,Paramater:"," Help_Value
", Property LimitType is required.,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Blanket Limits<font size=1> (The most we will pay for loss at any one covered location)</font,lblBlanket,,label,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Blanket Type,ddlCpPfBlanketLmtCode,CpPfBlanketLmtCode,DropDownList, True ,,,,"1.) ""Select Blankett Type.""
",,"1.)Proc name: uspSelect_CP_Prop_BlanketType
,Key name:PFBlanketType,Paramater:"," Help_Value
", Blanket Type is required if selected.,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Bldg,txtCpPfBldgLimit,CpPfBldgLimit,TextBox, True , 12," 0-9,.",,"1.) ""Blanket Bldg Limit.""
",,,, Building Limit is required if selected.,
,,,,,,,,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,chkControlchkCpPfBldgLimitInd,CpPfBldgLimitInd,CheckBox,,,,,"1.) ""Check if you want to override the CLAS default Blanket Bldg Limit.  Then enter amended limit in Blanket Bldg  Limit field.""
",,,Y,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Bpp,txtCpPfBppLimit,CpPfBppLimit,TextBox, True , 12," 0-9,.",,"1.) ""Blanket BPP Limit.""
",,,, BPP Limit is required if selected.,
,,,,,,,,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,,chkControlchkCpPfBPPLimitInd,CpPfBppLimitInd,CheckBox,,,,,"1.) ""Check if you want to override the CLAS default Blanket BPP Limit.  Then enter amended limit in Blanket BPP Limit field.""
",,,Y,,
CPPropertyInput.aspx,WebApplications,pnliLimits, Limits,Combined Bldg &&amp; BPP $,txtCpPfCombinedLmt,CpPfCombinedLmt,TextBox, True , 12," 0-9,.",,"1.) ""Combined Blanket Bldg and BPP Limit""
",,,, Combined Limit is required if selected.,
,,,,,,,,,,,,,,,,,
