LOB,File Name,File Path,Function Name,No of Parameters,Function Type,rule_id,rule_statement,parent_rule_id
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-1,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfBincCol"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Business Income coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-1
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-2,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfTuitClassCd"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Tuition coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-2
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,ValidateBldBic,2,PF,rule-3,"['            If oLobLoc.Input(""PfBldgVac"").Value = ""Y"" And Trim(oLobLoc.Input(""PfExxpLim"").Value) <> """" Then\n', '                oValidationResults.Add(""Vacant buildings not valid with Extra Expense coverage."", """", ErrorCollection.ErrorSeverity.Warning)\n', '\nEnd If']",rule-3
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-4,"['                If String.IsNullOrWhiteSpace(.Fields(""PfPMLocStatus"").Value) Then\n', '                    .Fields(""PfBldgRateVal"").Value = String.Empty\n', '                    .Fields(""PfBldgBgiiRate"").Value = String.Empty\n', '\nEnd If']",rule-4
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-5,"['                If String.IsNullOrWhiteSpace(.Fields(""PfBldgTotDfPt"").Value) = False Then\n', '                    .Fields(""PfBldgDstrExpo"").Value = String.Empty\n', '                    .Fields(""PfBldgClimHaz"").Value = String.Empty\n', '                    .Fields(""PfBldgSpecHoc"").Value = String.Empty\n', '                    .Fields(""PfBldgPrivProt"").Value = String.Empty\n', '                    .Fields(""PfBldgPubProt"").Value = String.Empty\n', '                    .Fields(""PfBldgExtExpo"").Value = String.Empty\n', '                    .Fields(""PfBldgConst"").Value = String.Empty\n', '                    .Fields(""PfBldgCombSus"").Value = String.Empty\n', '                    .Fields(""PfBldgAosi"").Value = String.Empty\n', '                    .Fields(""PfBldgTransFlt"").Value = String.Empty\n', '                    .Fields(""PfBldgWatSew"").Value = String.Empty\n', '                    .Fields(""PfBldgErthMov"").Value = String.Empty\n', '                    .Fields(""PfBldgLowDed"").Value = String.Empty\n', '                    .Fields(""PfBldgSusBus"").Value = String.Empty\n', '                    .Fields(""PfBldgTotDfPt"").Value = String.Empty\n', '                    .Fields(""PfCopBldgDef"").Value = ""N""\n', '\nEnd If']",rule-5
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,DeleteData,1,,rule-6,"['                If .Fields(""PFLOIEffectiveInd"").Value.Equals(""Y"") AndAlso String.IsNullOrWhiteSpace(.Fields(""PFBDBG1CAPIND"").Value) = False Then\n', '                    .Fields(""PFBDBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFBDBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFBDCOLCAPIND"").Value = ""N""\n', '                    .Fields(""PFDMBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFDMBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFDMCOLCAPIND"").Value = ""N""\n', '                    .Fields(""PFICBG1CAPIND"").Value = ""N""\n', '                    .Fields(""PFICBG2CAPIND"").Value = ""N""\n', '                    .Fields(""PFICCOLCAPIND"").Value = ""N""\n', '\nEnd If']",rule-6
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-7,['            If lRoCheck Then\n'],rule-7
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-8,"['                If ((GrgJul(effDateForLROpolicies) >= SUMMIT_LRO_EFFECTIVE_DATE) OrElse (lROTransType.Equals(""PCNM"") AndAlso GrgJul(TransactioneffDateforLROPolcies) >= SUMMIT_LRO_EFFECTIVE_DATE)) Then\n', '                    oLobLoc(""PfBldgAgrdVal"").Value = ""N""\n']","rule-7,rule-8"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,rule-9,"['                ElseIf GrgJul(effDateForLROpolicies) < SUMMIT_LRO_EFFECTIVE_DATE Then\n', '                    oLobLoc(""PfBldgAgrdVal"").Value = ""Y""\n', '                End If\n']","rule-7,rule-9"
LobPF,PFBd.vb,D:\SIL\ApplicationAssembles\LobPF\LobPF.BusinessRules,AgreedValueforSummitLRO,2,,,['\nEnd If'],rule-7
