rule_id,file_name,function_name,ScreenField,SectionName,CLASLabel,rule_statement,Rule_Relation,rule_description,rule_type,lob,dependent_control,parent_rule_id,External_rule_id
rule-1,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"            If Not IsPostBack Then
                 oCODataOld = New SIGI.CLAS.BusinessServices.LobCO.PolicyData(_sQtPolNum, _sInstanceId, BasePolicyData.LoadType.Default, BasePolicyData.DataGroup.Old)
                 _sAction = Request.QueryString(""Action"")
",rule-1,,variable_type_rule,,,,
rule-2,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                Select Case _sAction
","rule-1,rule-2",,,,,,
rule-3,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                    Case ACTION_NEW, ACTION_WALK_THRU_DONE
                         PolicyWriting.UI.Utility.LoadCommonAttributes(_sQtPolNum, _sInstanceId, Me.User.UserID.ToString, Session, LOB_CODE_PROPERTY)
                         _oLobData = _oLobBus.LoadData(_sQtPolNum, _sInstanceId, _oCOData, _sAction, _oValidationResults)
                         HiddenPfPreviousElitepacValue.Value = _oLobData.Policy.Input.Fields(""PFElitePac2015"").Value.Trim
                         Const ACORD_WALKTHRU_REQUIRED As String = ""ACORDWalkthruRequired""
                         With _oLobData
                             .Attributes.Common.WalkThruInd = If(.Attributes(ACORD_WALKTHRU_REQUIRED) IsNot Nothing AndAlso
                                                            .Attributes(ACORD_WALKTHRU_REQUIRED).CL_EqualsYesAbbreviation, String.Empty, .Attributes.Common.WalkThruInd)
                         End With
","rule-1,rule-2,rule-3",,,,,,
rule-4,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                        If _oLobShared.PFLocationExist(_oCOData) = False Then 
Page.Redirect(String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicySummary.aspx""))
 
 End If
","rule-1,rule-2,rule-3,rule-4",,direct_rule,,,,
,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                        Dim policyEffectiveDate As Date = Date.ParseExact(_oLobData.Attributes.Common.PolicyEffectiveDate, DATE_FORMAT_MMDDYY, Nothing)
                         Dim appShared As New BusinessServices.Shared.ApplicationShared
                         Dim isMarginClauseEffective As Boolean = appShared.SupportIsInEffect(PROPERTY_ISO, policyEffectiveDate)
                         With _oLobData.Policy
","rule-1,rule-2,rule-3",,,,,,
rule-5,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                            If isMarginClauseEffective Then
                                 .Input(""PFIsoLossCostApply"").Value = YES_ABBREVIATED
                             Else
                                 .Input(""PFIsoLossCostApply"").Value = NO_ABBREVIATED
                             End If
","rule-1,rule-2,rule-3,rule-5",,variable_type_rule,,,,
rule-5.1,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"            If Not IsPostBack Then
                 oCODataOld = New SIGI.CLAS.BusinessServices.LobCO.PolicyData(_sQtPolNum, _sInstanceId, BasePolicyData.LoadType.Default, BasePolicyData.DataGroup.Old)
                 _sAction = Request.QueryString(""Action"")
                 Select Case _sAction
                     Case ACTION_NEW, ACTION_WALK_THRU_DONE
                         PolicyWriting.UI.Utility.LoadCommonAttributes(_sQtPolNum, _sInstanceId, Me.User.UserID.ToString, Session, LOB_CODE_PROPERTY)
                         _oLobData = _oLobBus.LoadData(_sQtPolNum, _sInstanceId, _oCOData, _sAction, _oValidationResults)
                         HiddenPfPreviousElitepacValue.Value = _oLobData.Policy.Input.Fields(""PFElitePac2015"").Value.Trim
                         Const ACORD_WALKTHRU_REQUIRED As String = ""ACORDWalkthruRequired""
                         With _oLobData
                             .Attributes.Common.WalkThruInd = If(.Attributes(ACORD_WALKTHRU_REQUIRED) IsNot Nothing AndAlso
                                                            .Attributes(ACORD_WALKTHRU_REQUIRED).CL_EqualsYesAbbreviation, String.Empty, .Attributes.Common.WalkThruInd)
                         End With
                         If _oLobShared.PFLocationExist(_oCOData) = False Then 
Page.Redirect(String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicySummary.aspx""))
 
 End If
                         Dim policyEffectiveDate As Date = Date.ParseExact(_oLobData.Attributes.Common.PolicyEffectiveDate, DATE_FORMAT_MMDDYY, Nothing)
                         Dim appShared As New BusinessServices.Shared.ApplicationShared
                         Dim isMarginClauseEffective As Boolean = appShared.SupportIsInEffect(PROPERTY_ISO, policyEffectiveDate)
                         With _oLobData.Policy
                             If isMarginClauseEffective Then
                                 .Input(""PFIsoLossCostApply"").Value = YES_ABBREVIATED
                             Else
                                 .Input(""PFIsoLossCostApply"").Value = NO_ABBREVIATED
                             End If
                         End With
                         SetElitePacEligibilityIndicator(_oLobData.Policy.Input, _oCOData.Attributes)
                         SetISO2012Indicator(_oLobData.Attributes.Common.PolicyEffectiveDate, _oLobData.Attributes.Common.PredominantState.Trim, _oLobData.Policy.Input)
                         _navDict = _oLobShared.GetLOBNAvagation(_oCOData, _oLobData)
                         Dim lobAttributes As BusinessServices.LobPF.Attributes = _oLobData.Attributes
                         _oLobData.Attributes.Collections(""LOBNAVAGATION"") = _navDict
                         _bInputComplete = _oLobShared.SetCompleteFlagsBIC(_oCOData, _oLobData, _oCOData.StatusRecords(String.Concat(""STATUS"", Common.getLineOfBusiness(LOB.LineOfBusiness.Property))))
                         _bDisableNav = False
                         If _sAction = ACTION_WALK_THRU_DONE Then
                             _oValidationResults = TryCast(Session(""PF_ERRORS""), ErrorCollection)
                             If _oValidationResults IsNot Nothing Then
                                 If _oValidationResults.ErrorCount > 0 Then
                                     _oLobData.Attributes(""StillInWalkthru"") = YES_ABBREVIATED
                                     AddErrorsToPage(_oValidationResults)
                                     _bDisableNav = True
                                 Else
                                     WalkthruSuccess()
                                 End If
                             Else
                                 WalkthruSuccess()
                             End If
                         Else
                             If Session(""PF_ERRORS"") Is Nothing Then
                                 _oValidationResults = New ErrorCollection()
                                 Session(""PF_ERRORS"") = _oValidationResults
                             Else
                                 _oValidationResults = CType(Session(""PF_ERRORS""), ErrorCollection)
                                 If _oValidationResults.ErrorCount > 0 Then
                                     AddErrorsToPage(_oValidationResults)
                                 Else
                                     _oValidationResults.ClearAllErrors()
                                 End If
                             End If
                             _oLobData.Attributes.Common.WalkThruStartPage = String.Empty
                         End If
                         If (lobAttributes.Common.OneNDoneInd).CL_EqualsYesAbbreviation() Then
                             If (lobAttributes(""LOBAddMode"")).CL_EqualsYesAbbreviation() OrElse
                                 (lobAttributes.Common.WalkThruInd).CL_EqualsYesAbbreviation() Then
                                 lobAttributes.Common.WalkThruStartPage = String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicyInput.aspx"")
                                 _oLobData.SetSession()
                                 _oCOData.SetSession()
                                 _oLobData.Commit()
                                 _oCOData.Commit()
                                 Page.Redirect(String.Format(""{0}{1}?Type=OneNDone&ALL=Y&LEVEL=P"", APPLICATION_ROOT, walkThruBicUrl))
                             End If
                         ElseIf Not Trim(_sAction) = ACTION_WALK_THRU_DONE AndAlso _oLobData.Locations.Count > 0 Then         'If walkthru done, then dont run this code. otherwise it will go in endless loop of walkthru
                             If lobAttributes.Common.WalkThruInd.Trim.CL_EqualsYesAbbreviation() OrElse
                                 lobAttributes.Common.WalkThruInd.Trim.Equals(WALKTHRU_TYPE_INCOMPLETE) Then
                                 _oLobData.Commit()
                                 _oCOData.Commit()
                                 lobAttributes.Common.WalkThruStartPage = String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicyInput.aspx"")
                                 _oCOData.SetSession()
                                 _oLobData.SetSession()
                                 If (lobAttributes.Common.WalkThruInd.Trim).CL_EqualsYesAbbreviation() Then
                                     Page.Redirect(String.Format(""{0}{1}?Type=LOB&ALL=Y&LEVEL=P"", APPLICATION_ROOT, walkThruBicUrl))
                                 Else
                                     Page.Redirect(String.Format(""{0}{1}?Type=Q&ALL=Y&LEVEL=P"", APPLICATION_ROOT, walkThruBicUrl))
                                 End If
                             End If
                         End If
                         _oLobBus.PowerPacRates(_oLobData)
                         SetupPagePresentation()
                         If _oLobData.Locations.Count = 0 Then
                             Dim oneNDone As String = _oLobData.Attributes.Common.OneNDoneType
                             Dim oneNDoneType As New HashSet(Of String) From {{ONE_N_DONE_CIVIC_ORGANIZATIONS},
                                                                              {ONE_N_DONE_CIRCUIT_TRAINING},
                                                                              {ONE_N_DONE_DANCE_STUDIOS},
                                                                              {ONE_N_DONE_LIGHT_MANUFACTURING},
                                                                              {ONE_N_DONE_LESSOR_RISK}}
                             If (oneNDoneType.Contains(oneNDone)) AndAlso (_oLobData.Attributes(""FirstTimeInO&DPF"").CL_EqualsNoAbbreviation() = False) AndAlso
                                (oneNDone.CL_EqualsYesAbbreviation()) Then
                                 If (oneNDone.Equals(ONE_N_DONE_LIGHT_MANUFACTURING)) AndAlso (String.IsNullOrWhiteSpace(_oLobData.Policy.Input.Fields(""PfMisc4"").Value)) Then
                                     _oLobData.Policy.Input.Fields(""PfMisc4"").Value = ""20""
                                 End If
                             End If
                         End If
                 End Select
                 _oCOData.SetSession()
                 _oLobData.SetSession()
             End If
",rule-5,,,,,,
,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                        End With
                         SetElitePacEligibilityIndicator(_oLobData.Policy.Input, _oCOData.Attributes)
                         SetISO2012Indicator(_oLobData.Attributes.Common.PolicyEffectiveDate, _oLobData.Attributes.Common.PredominantState.Trim, _oLobData.Policy.Input)
                         _navDict = _oLobShared.GetLOBNAvagation(_oCOData, _oLobData)
                         Dim lobAttributes As BusinessServices.LobPF.Attributes = _oLobData.Attributes
                         _oLobData.Attributes.Collections(""LOBNAVAGATION"") = _navDict
                         _bInputComplete = _oLobShared.SetCompleteFlagsBIC(_oCOData, _oLobData, _oCOData.StatusRecords(String.Concat(""STATUS"", Common.getLineOfBusiness(LOB.LineOfBusiness.Property))))
                         _bDisableNav = False
","rule-1,rule-2,rule-3",,,,,,
rule-6,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"                        If _sAction = ACTION_WALK_THRU_DONE Then
                             _oValidationResults = TryCast(Session(""PF_ERRORS""), ErrorCollection)
","rule-1,rule-2,rule-3,rule-6",,variable_type_rule,,,,
rule-6.1,PFPolicyInput.aspx,Page_Load,HiddenPfPreviousElitepacValue,,,"            If Not IsPostBack Then
                 oCODataOld = New SIGI.CLAS.BusinessServices.LobCO.PolicyData(_sQtPolNum, _sInstanceId, BasePolicyData.LoadType.Default, BasePolicyData.DataGroup.Old)
                 _sAction = Request.QueryString(""Action"")
                 Select Case _sAction
                     Case ACTION_NEW, ACTION_WALK_THRU_DONE
                         PolicyWriting.UI.Utility.LoadCommonAttributes(_sQtPolNum, _sInstanceId, Me.User.UserID.ToString, Session, LOB_CODE_PROPERTY)
                         _oLobData = _oLobBus.LoadData(_sQtPolNum, _sInstanceId, _oCOData, _sAction, _oValidationResults)
                         HiddenPfPreviousElitepacValue.Value = _oLobData.Policy.Input.Fields(""PFElitePac2015"").Value.Trim
                         Const ACORD_WALKTHRU_REQUIRED As String = ""ACORDWalkthruRequired""
                         With _oLobData
                             .Attributes.Common.WalkThruInd = If(.Attributes(ACORD_WALKTHRU_REQUIRED) IsNot Nothing AndAlso
                                                            .Attributes(ACORD_WALKTHRU_REQUIRED).CL_EqualsYesAbbreviation, String.Empty, .Attributes.Common.WalkThruInd)
                         End With
                         If _oLobShared.PFLocationExist(_oCOData) = False Then 
Page.Redirect(String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicySummary.aspx""))
 
 End If
                         Dim policyEffectiveDate As Date = Date.ParseExact(_oLobData.Attributes.Common.PolicyEffectiveDate, DATE_FORMAT_MMDDYY, Nothing)
                         Dim appShared As New BusinessServices.Shared.ApplicationShared
                         Dim isMarginClauseEffective As Boolean = appShared.SupportIsInEffect(PROPERTY_ISO, policyEffectiveDate)
                         With _oLobData.Policy
                             If isMarginClauseEffective Then
                                 .Input(""PFIsoLossCostApply"").Value = YES_ABBREVIATED
                             Else
                                 .Input(""PFIsoLossCostApply"").Value = NO_ABBREVIATED
                             End If
                         End With
                         SetElitePacEligibilityIndicator(_oLobData.Policy.Input, _oCOData.Attributes)
                         SetISO2012Indicator(_oLobData.Attributes.Common.PolicyEffectiveDate, _oLobData.Attributes.Common.PredominantState.Trim, _oLobData.Policy.Input)
                         _navDict = _oLobShared.GetLOBNAvagation(_oCOData, _oLobData)
                         Dim lobAttributes As BusinessServices.LobPF.Attributes = _oLobData.Attributes
                         _oLobData.Attributes.Collections(""LOBNAVAGATION"") = _navDict
                         _bInputComplete = _oLobShared.SetCompleteFlagsBIC(_oCOData, _oLobData, _oCOData.StatusRecords(String.Concat(""STATUS"", Common.getLineOfBusiness(LOB.LineOfBusiness.Property))))
                         _bDisableNav = False
                         If _sAction = ACTION_WALK_THRU_DONE Then
                             _oValidationResults = TryCast(Session(""PF_ERRORS""), ErrorCollection)
                             If _oValidationResults IsNot Nothing Then
                                 If _oValidationResults.ErrorCount > 0 Then
                                     _oLobData.Attributes(""StillInWalkthru"") = YES_ABBREVIATED
                                     AddErrorsToPage(_oValidationResults)
                                     _bDisableNav = True
                                 Else
                                     WalkthruSuccess()
                                 End If
                             Else
                                 WalkthruSuccess()
                             End If
                         Else
                             If Session(""PF_ERRORS"") Is Nothing Then
                                 _oValidationResults = New ErrorCollection()
                                 Session(""PF_ERRORS"") = _oValidationResults
                             Else
                                 _oValidationResults = CType(Session(""PF_ERRORS""), ErrorCollection)
                                 If _oValidationResults.ErrorCount > 0 Then
                                     AddErrorsToPage(_oValidationResults)
                                 Else
                                     _oValidationResults.ClearAllErrors()
                                 End If
                             End If
                             _oLobData.Attributes.Common.WalkThruStartPage = String.Empty
                         End If
                         If (lobAttributes.Common.OneNDoneInd).CL_EqualsYesAbbreviation() Then
                             If (lobAttributes(""LOBAddMode"")).CL_EqualsYesAbbreviation() OrElse
                                 (lobAttributes.Common.WalkThruInd).CL_EqualsYesAbbreviation() Then
                                 lobAttributes.Common.WalkThruStartPage = String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicyInput.aspx"")
                                 _oLobData.SetSession()
                                 _oCOData.SetSession()
                                 _oLobData.Commit()
                                 _oCOData.Commit()
                                 Page.Redirect(String.Format(""{0}{1}?Type=OneNDone&ALL=Y&LEVEL=P"", APPLICATION_ROOT, walkThruBicUrl))
                             End If
                         ElseIf Not Trim(_sAction) = ACTION_WALK_THRU_DONE AndAlso _oLobData.Locations.Count > 0 Then         'If walkthru done, then dont run this code. otherwise it will go in endless loop of walkthru
                             If lobAttributes.Common.WalkThruInd.Trim.CL_EqualsYesAbbreviation() OrElse
                                 lobAttributes.Common.WalkThruInd.Trim.Equals(WALKTHRU_TYPE_INCOMPLETE) Then
                                 _oLobData.Commit()
                                 _oCOData.Commit()
                                 lobAttributes.Common.WalkThruStartPage = String.Concat(APPLICATION_ROOT, ""LobPF/PFPolicyInput.aspx"")
                                 _oCOData.SetSession()
                                 _oLobData.SetSession()
                                 If (lobAttributes.Common.WalkThruInd.Trim).CL_EqualsYesAbbreviation() Then
                                     Page.Redirect(String.Format(""{0}{1}?Type=LOB&ALL=Y&LEVEL=P"", APPLICATION_ROOT, walkThruBicUrl))
                                 Else
                                     Page.Redirect(String.Format(""{0}{1}?Type=Q&ALL=Y&LEVEL=P"", APPLICATION_ROOT, walkThruBicUrl))
                                 End If
                             End If
                         End If
                         _oLobBus.PowerPacRates(_oLobData)
                         SetupPagePresentation()
                         If _oLobData.Locations.Count = 0 Then
                             Dim oneNDone As String = _oLobData.Attributes.Common.OneNDoneType
                             Dim oneNDoneType As New HashSet(Of String) From {{ONE_N_DONE_CIVIC_ORGANIZATIONS},
                                                                              {ONE_N_DONE_CIRCUIT_TRAINING},
                                                                              {ONE_N_DONE_DANCE_STUDIOS},
                                                                              {ONE_N_DONE_LIGHT_MANUFACTURING},
                                                                              {ONE_N_DONE_LESSOR_RISK}}
                             If (oneNDoneType.Contains(oneNDone)) AndAlso (_oLobData.Attributes(""FirstTimeInO&DPF"").CL_EqualsNoAbbreviation() = False) AndAlso
                                (oneNDone.CL_EqualsYesAbbreviation()) Then
                                 If (oneNDone.Equals(ONE_N_DONE_LIGHT_MANUFACTURING)) AndAlso (String.IsNullOrWhiteSpace(_oLobData.Policy.Input.Fields(""PfMisc4"").Value)) Then
                                     _oLobData.Policy.Input.Fields(""PfMisc4"").Value = ""20""
                                 End If
                             End If
                         End If
                 End Select
                 _oCOData.SetSession()
                 _oLobData.SetSession()
             End If
",rule-6,,,,,,
