518078 function calls (514214 primitive calls) in 7.743 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  707/695    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      188    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      103    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      188    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     52/6    0.000    0.000    0.096    0.016 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      442    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       84    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
      426    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    43/42    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     43/6    0.000    0.000    0.097    0.016 <frozen importlib._bootstrap>:663(_load_unlocked)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
       45    0.001    0.000    0.026    0.001 <frozen importlib._bootstrap>:882(_find_spec)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
     46/5    0.000    0.000    0.106    0.021 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   103/62    0.001    0.000    0.110    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
       58    0.000    0.000    0.074    0.001 <frozen importlib._bootstrap>:994(_gcd_import)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
      2/1    0.000    0.000    0.015    0.015 <frozen importlib._bootstrap_external>:1040(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       45    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
       45    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       82    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       41    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      407    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      407    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
     41/6    0.000    0.000    0.097    0.016 <frozen importlib._bootstrap_external>:722(exec_module)
      175    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       41    0.001    0.000    0.054    0.001 <frozen importlib._bootstrap_external>:793(get_code)
       52    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       41    0.025    0.001    0.042    0.001 <frozen importlib._bootstrap_external>:914(get_data)
       49    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       41    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
      232    0.002    0.000    0.031    0.000 ElementTree.py:1187(parse)
       59    0.000    0.000    0.005    0.000 ElementTree.py:1201(iterparse)
      465    0.001    0.000    0.007    0.000 ElementTree.py:1219(iterator)
       59    0.000    0.000    0.000    0.000 ElementTree.py:1235(IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
       59    0.002    0.000    0.002    0.000 ElementTree.py:1251(__init__)
       58    0.000    0.000    0.002    0.000 ElementTree.py:1263(feed)
       58    0.000    0.000    0.000    0.000 ElementTree.py:1273(_close_and_return_root)
      580    0.001    0.000    0.001    0.000 ElementTree.py:1287(read_events)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.019    0.019 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
      232    0.000    0.000    0.000    0.000 ElementTree.py:554(__init__)
      232    0.003    0.000    0.030    0.000 ElementTree.py:574(parse)
      174    0.000    0.000    0.000    0.000 ElementTree.py:611(iter)
       58    0.000    0.000    0.000    0.000 ElementTree.py:677(findall)
        2    0.000    0.000    0.065    0.033 __init__.py:1(<module>)
      119    0.001    0.000    0.019    0.000 __init__.py:1074(_decode_all_selective)
       58    0.000    0.000    0.074    0.001 __init__.py:109(import_module)
       58    0.000    0.000    0.001    0.000 __init__.py:122(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
       58    0.006    0.000    0.181    0.003 __init__.py:33(open_workbook)
       20    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      118    0.000    0.000    0.001    0.000 __init__.py:403(_make)
      118    0.000    0.000    0.001    0.000 __init__.py:413(_replace)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.002    0.002 __init__.py:71(search_function)
      116    0.000    0.000    0.001    0.000 _asarray.py:16(asarray)
       58    0.001    0.000    0.080    0.001 _base.py:619(__new__)
       58    0.000    0.000    0.001    0.000 _base.py:683(__init__)
       58    0.000    0.000    0.000    0.000 _base.py:718(_get_sheet_name)
       58    0.000    0.000    0.000    0.000 _base.py:760(check_extension)
      116    0.000    0.000    0.000    0.000 _base.py:766(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       58    0.000    0.000    0.000    0.000 _collections_abc.py:268(__iter__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
       19    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
      177    0.000    0.000    0.002    0.000 _collections_abc.py:657(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
      116    0.001    0.000    0.001    0.000 _dtype.py:319(_name_get)
      116    0.000    0.000    0.000    0.000 _internal.py:865(npy_ctypes_check)
       58    0.000    0.000    0.001    0.000 _methods.py:44(_any)
       58    0.000    0.000    0.000    0.000 _optional.py:41(_get_version)
       58    0.001    0.000    0.077    0.001 _optional.py:52(import_optional_dependency)
       58    0.000    0.000    0.000    0.000 _util.py:156(_validate_freeze_panes)
       58    0.000    0.000    0.077    0.001 _util.py:26(_get_default_writer)
       58    0.000    0.000    0.000    0.000 _util.py:49(get_writer)
       58    0.001    0.000    0.008    0.000 _xlsxwriter.py:164(__init__)
       58    0.000    0.000    2.970    0.051 _xlsxwriter.py:190(save)
       58    0.000    0.000    0.010    0.000 _xlsxwriter.py:197(write_cells)
       60    0.000    0.000    0.003    0.000 abc.py:125(__new__)
     2330    0.002    0.000    0.007    0.000 abc.py:137(__instancecheck__)
     35/8    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       58    0.000    0.000    0.001    0.000 app.py:106(_write_application)
       58    0.000    0.000    0.000    0.000 app.py:110(_write_doc_security)
       58    0.000    0.000    0.000    0.000 app.py:114(_write_scale_crop)
       58    0.000    0.000    0.004    0.000 app.py:118(_write_heading_pairs)
        1    0.000    0.000    0.000    0.000 app.py:12(App)
       58    0.000    0.000    0.002    0.000 app.py:124(_write_titles_of_parts)
      116    0.001    0.000    0.004    0.000 app.py:137(_write_vt_vector)
      174    0.000    0.000    0.001    0.000 app.py:157(_write_vt_data)
       58    0.000    0.000    0.000    0.000 app.py:161(_write_company)
       58    0.000    0.000    0.000    0.000 app.py:166(_write_manager)
       58    0.000    0.000    0.000    0.000 app.py:173(_write_links_up_to_date)
       58    0.000    0.000    0.000    0.000 app.py:177(_write_shared_doc)
       58    0.000    0.000    0.000    0.000 app.py:181(_write_hyperlink_base)
       58    0.000    0.000    0.000    0.000 app.py:190(_write_hyperlinks_changed)
       58    0.000    0.000    0.000    0.000 app.py:194(_write_app_version)
       58    0.000    0.000    0.001    0.000 app.py:25(__init__)
       58    0.000    0.000    0.000    0.000 app.py:37(_add_part_name)
      116    0.000    0.000    0.000    0.000 app.py:41(_add_heading_pair)
       58    0.000    0.000    0.000    0.000 app.py:52(_set_properties)
       58    0.001    0.000    0.038    0.001 app.py:62(_assemble_xml_file)
        1    0.000    0.000    0.000    0.000 app.py:9(<module>)
       58    0.000    0.000    0.001    0.000 app.py:93(_write_properties)
       58    0.000    0.000    0.001    0.000 base.py:1012(_ndarray_values)
       58    0.000    0.000    0.002    0.000 base.py:1185(__iter__)
      116    0.000    0.000    0.000    0.000 base.py:1355(_get_names)
      116    0.000    0.000    0.001    0.000 base.py:180(construct_from_string)
       58    0.000    0.000    0.001    0.000 base.py:1826(is_object)
      986    0.002    0.000    0.008    0.000 base.py:231(is_dtype)
  232/116    0.006    0.000    0.037    0.000 base.py:277(__new__)
       58    0.000    0.000    0.000    0.000 base.py:3901(values)
      232    0.000    0.000    0.000    0.000 base.py:3923(_values)
       58    0.003    0.000    0.005    0.000 base.py:4228(__contains__)
       58    0.000    0.000    0.006    0.000 base.py:4297(_can_hold_identifiers_and_holds_name)
       58    0.000    0.000    0.000    0.000 base.py:4377(equals)
      116    0.001    0.000    0.001    0.000 base.py:569(_simple_new)
      290    0.000    0.000    0.000    0.000 base.py:5707(ensure_index)
       58    0.000    0.000    0.000    0.000 base.py:681(is_)
      116    0.000    0.000    0.000    0.000 base.py:700(_reset_identity)
       58    0.001    0.000    0.002    0.000 base.py:710(_engine)
       58    0.000    0.000    0.000    0.000 base.py:717(<lambda>)
