program_name,map_name,field_name,validation_rule,rule_number,_id
AP00S00,,BISMSGO, IF WS-COMM-PASS-NUMBER = 1 CCP01OCR  <br>  MOVE LOW-VALUES TO CCMAP00O CCP01OCR  <br>  MOVE -1 TO BISPROL CCP01OCR  <br>   MOVE 2 TO WS-COMM-PASS-NUMBER CCP01OCR  <br>   MOVE 'PRESS PF1 TO RETURN TO THE MAIN MENU' CCP01OCR <br> TO BISMSGO CCP01OCR  <br>   GO TO 100-SEND-BIS-PRO-MAP CCP01OCR  <br>   ELSE CCP01OCR  <br> ,Rule-0003,5f210fa2a4035c2ee5a4eb0b
AP00S00,,BISMSGO, IF WS-COMM-PASS-NUMBER = 2 CCP01OCR ,Rule-0004,5f210fa2a4035c2ee5a4eb0c
AP00S00,,BISMSGO, IF EIBAID = DFH-CLEAR CCP01OCR  <br>  MOVE SPACES TO CCMAP00O CCP01OCR  <br>  MOVE 'USER REQUESTED TERMINATION' TO BISMSGO CCP01OCR  <br>   MOVE 'SND MAP0' TO TYPE-EXEC CCP01OCR <br> CCP01OCR  <br>  EXEC CICS SEND MAP('CCMAP00') CCP01OCR <br>MAPSET('CCM01PM') CCP01OCR <br>CURSOR CCP01OCR <br>ERASE CCP01OCR <br>FREEKB CCP01OCR <br>END-EXEC CCP01OCR  <br>   GO TO 930-RETURN-EDGE CCP01OCR  <br>   END-IF CCP01OCR  <br> ,Rule-0005,5f210fa2a4035c2ee5a4eb0d
AP00S00,,BISMSGO, IF (EIBAID NOT = DFH-ENTER) AND CCP01OCR <br> (EIBAID NOT = DFH-PF1) CCP01OCR  <br>  MOVE 'INVALID KEY. PLEASE RETRY' TO BISMSGO CCP01OCR  <br>  GO TO 100-SEND-BIS-PRO-MAP CCP01OCR  <br>   END-IF CCP01OCR <br> CCP01OCR  <br> ,Rule-0006,5f210fa2a4035c2ee5a4eb0e
AP00S00,,BISMSGO, MOVE 'REC MAP0' TO TYPE-EXEC CCP01OCR  <br> EXEC CICS RECEIVE MAP('CCMAP00') CCP01OCR <br>MAPSET('CCM01PM') CCP01OCR <br>END-EXEC CCP01OCR  <br>  CCP01OCR  <br>   PERFORM 300-GET-BIS-DATA THRU 300-EXIT CCP01OCR  <br> ,Rule-0004,5f210fa2a4035c2ee5a4eb0f
AP00S00,,BISMSGO, IF WS-COMM-OPTION-NUMBER = '23'  <br>  MOVE SPACES TO WS-COMM-CLAIM-NO CCP01OCR  <br>  END-IF  <br> ,Rule-0007,5f210fa2a4035c2ee5a4eb10
AP00S00,,BISMSGO," MOVE 3 TO WS-COMM-PASS-NUMBER CCP01OCR  <br>  MOVE 'ENTER NEW CLAIM DATA AND PRESS ENTER, OR PF1 TO RETCCP01OCR <br> 'URN TO THE MAIN MENU' TO ERRORSO CCP01OCR  <br>  MOVE A-BUNCH-OF-UNDERSCORES TO THERCLMO CCP01OCR  <br>   MOVE WS-COMM-CLAIM-NO TO CLAIMNOO CCP01OCR  <br>   MOVE LOW-VALUES TO INVESTO  <br>   MOVE -1 TO INVESTL CCP01OCR  <br>   GO TO 110-SEND-SETUP-MAP. CCP01OCR  <br> ",Rule-0004,5f210fa2a4035c2ee5a4eb11
AP00S00,,BISMSGO, IF EIBAID = DFH-CLEAR CCP01OCR  <br>  MOVE 'USER REQUESTED TERMINATION' TO ERRORSO CCP01OCR  <br>  MOVE 'SND MAP1' TO TYPE-EXEC CCP01OCR  <br> ,Rule-0008,5f210fa2a4035c2ee5a4eb12
AP00S00,,BISMSGO, IF WS-COMM-OPTION-NUMBER = '23'  <br>  MOVE WS-COMM-CLAIM-NO TO CLAIMNOO  <br>  MOVE DFHP-ASKIP-MDT TO CLAIMNOA  <br>   END-IF <br> CCP01OCR  <br> ,Rule-0009,5f210fa2a4035c2ee5a4eb13
AP00S00,,BISMSGO,EXEC CICS SEND MAP('CCMAP01') CCP01OCR <br>MAPSET('CCM01PM') CCP01OCR <br>CURSOR CCP01OCR <br>ERASE CCP01OCR <br>FREEKB CCP01OCR <br>END-EXEC CCP01OCR  <br>  CCP01OCR  <br>  GO TO 930-RETURN-EDGE CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0008,5f210fa2a4035c2ee5a4eb14
AP00S00,,BISMSGO, IF (EIBAID NOT = DFH-ENTER) AND CCP01OCR <br> (EIBAID NOT = DFH-PF1) CCP01OCR  <br>  MOVE WS-COMM-CLAIM-NO TO CLAIMNOO  <br>  MOVE 'INVALID KEY. PLEASE RETRY' TO ERRORSO CCP01OCR  <br>   MOVE 'REC MAP0' TO TYPE-EXEC CCP01OCR  <br>   GO TO 110-SEND-SETUP-MAP CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0010,5f210fa2a4035c2ee5a4eb15
AP00S00,,BISMSGO, PERFORM 180-PROCESS-EIB-TIME-DATE. CCP01OCR <br> CCP01OCR  <br>  PERFORM 120-RECEIVE-AND-EDIT-MAP THRU 120-EXIT. CCP01OCR  <br>  END-IF  <br> ,Rule-0004,5f210fa2a4035c2ee5a4eb16
AP00S00,,BISMSGO, IF CLAIMNOI NOT = LOW-VALUES CCP01OCR ,Rule-0011,5f210fa2a4035c2ee5a4eb17
AP00S00,,BISMSGO, IF CLAIMNOI NUMERIC AND CCP01OCR <br> CLAIMNOI > ZERO CCP01OCR  <br>  MOVE CLAIMNOI TO WS-CLAIM-NO CCP01OCR  <br>  ELSE CCP01OCR  <br> ,Rule-0012,5f210fa2a4035c2ee5a4eb18
AP00S00,,BISMSGO, IF WS-COMM-OPTION-NUMBER = '23'  <br>  MOVE WS-COMM-CLAIM-NO TO CLAIMNOO  <br>  ELSE  <br>   MOVE 04 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO CLAIMNOL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF  <br> ,Rule-0013,5f210fa2a4035c2ee5a4eb19
AP00S00,,BISMSGO, END-IF ,Rule-0012,5f210fa2a4035c2ee5a4eb1a
AP00S00,,BISMSGO, ELSE CCP01OCR ,Rule-0011,5f210fa2a4035c2ee5a4eb1b
AP00S00,,BISMSGO, IF WS-COMM-OPTION-NUMBER = '23'  <br>  MOVE WS-COMM-CLAIM-NO TO CLAIMNOO  <br>  ELSE  <br>   MOVE 05 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO CLAIMNOL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF  <br> ,Rule-0014,5f210fa2a4035c2ee5a4eb1c
AP00S00,,BISMSGO, END-IF. CCP01OCR ,Rule-0011,5f210fa2a4035c2ee5a4eb1d
AP00S00,,BISMSGO, IF INVESTI NOT = LOW-VALUES CCP01OCR ,Rule-0015,5f210fa2a4035c2ee5a4eb1e
AP00S00,,BISMSGO, IF INVESTI NUMERIC AND CCP01OCR <br> INVESTI > ZERO AND INVESTI < 50 CCP01OCR  <br>  MOVE INVESTI TO WS-INV-NUM CCP01OCR  <br>  ELSE CCP01OCR  <br>   MOVE 06 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO INVESTL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   ELSE CCP01OCR  <br>   MOVE 06 TO ERROR-SUB CCP01OCR  <br>   MOVE -1 TO INVESTL CCP01OCR  <br>   MOVE 'E' TO ERROR-SWITCH CCP01OCR  <br>   GO TO 120-ERROR-FOUND CCP01OCR  <br>   END-IF. CCP01OCR  <br> ,Rule-0016,5f210fa2a4035c2ee5a4eb1f
AP00S00,,BISMSGO, IF AMOUNTI NOT = LOW-VALUES CCP01OCR  <br>  MOVE AMOUNTI TO WS-FORMATTED-AMOUNT CCP01OCR  <br> ,Rule-0017,5f210fa2a4035c2ee5a4eb20
