component_name,component_type,Table,CRUD,SQL
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,RMK_INV_ERROR_LOG,CREATE,"  INSERT INTO RMK_INV_ERROR_LOG (ERR_ID,  Module_Name,  Error_Message,  CREATION_DATE)  VALUES (l_errid,  v_message,  SYSDATE);"
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,RC_BTS_CYCLE_UPLOAD_DATA,CREATE,"  INSERT INTO RC_BTS_CYCLE_UPLOAD_DATA (REQUEST_ID,  REFRESH_PART_NUMBER,  TAN_ID,  SITE_ID,  CYCLE_ROHS_CNT,  CYCLE_NROHS_CNT,  IFS_ROHS_CNT,  IFS_NROHS_CNT,  USER_COMMENTS,  ADJ_ROHS_QTY,  ADJ_NROHS_QTY,  UPLOADED_DATE,  UPLOADED_BY,  FILE_NAME,  V_ATTR1)  VALUES (  rc_bts_inv_seq.NEXTVAL,  ltab_bts_data_tab (rec).REFRESH_PART_NUMBER,  ltab_bts_data_tab (rec).TAN_ID,  ltab_bts_data_tab (rec).SITE_ID,  ltab_bts_data_tab (rec).CYCLE_ROHS_CNT,  ltab_bts_data_tab (rec).CYCLE_NROHS_CNT,  ltab_bts_data_tab (rec).IFS_ROHS_CNT,  ltab_bts_data_tab (rec).IFS_NROHS_CNT,  ltab_bts_data_tab (rec).USER_COMMENTS,  ltab_bts_data_tab (rec).CYCLE_ROHS_CNT  ltab_bts_data_tab (rec).CYCLE_NROHS_CNT  SYSDATE,  i_login_user, --ltab_bts_data_tab (rec).UPLOADED_BY,  UPPER (  TRIM (ltab_bts_data_tab (rec).FILE_NAME)),  lv_upload_id);"
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,XXCPO_RMK_INV_MASTER_TEMP,CREATE,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Retail'  AND rohs_compliant = 'YES';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,RMKTGADM.XXCPO_RMK_INVENTORY_MASTER,READ,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Retail'  AND rohs_compliant = 'YES';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,XXCPO_RMK_INV_MASTER_TEMP,CREATE,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Outlet'  AND rohs_compliant = 'YES';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,RMKTGADM.XXCPO_RMK_INVENTORY_MASTER,READ,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Outlet'  AND rohs_compliant = 'YES';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,XXCPO_RMK_INV_MASTER_TEMP,CREATE,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Retail'  AND rohs_compliant = 'NO';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,RMKTGADM.XXCPO_RMK_INVENTORY_MASTER,READ,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Retail'  AND rohs_compliant = 'NO';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,XXCPO_RMK_INV_MASTER_TEMP,CREATE,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Outlet'  AND rohs_compliant = 'NO';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,RMKTGADM.XXCPO_RMK_INVENTORY_MASTER,READ,  INSERT INTO XXCPO_RMK_INV_MASTER_TEMP  SELECT *  FROM RMKTGADM.XXCPO_RMK_INVENTORY_MASTER  WHERE part_number =  ltab_bts_cycle_data (rec).refresh_part_number  AND site_code =  ltab_bts_inv_data (rec).site_id  AND inventory_flow = 'Outlet'  AND rohs_compliant = 'NO';
RC_BTS_CYCLE_ADJ_PKG,PACKAGE BODY,rc_bts_cycle_upload_data rbc,UPDATE,"  UPDATE rc_bts_cycle_upload_data rbc  SET is_bts_processed =  ltab_bts_cycle_data (indx).is_bts_processed,  d_attr1 = SYSDATE, --BTS processed updated Date  v_attr3 = i_login_user --BTS processed updated By  WHERE rbc.request_id = ltab_bts_cycle_data (indx).request_id;"
